,param,exp_id,q,size,loader,localizer,drifting samples,score,time
0,-2,0,0.8,500,FishHeadLoader,MB-DL RF,98,0.7048979591836735,16.468851327896118
1,-2,0,0.8,500,FishHeadLoader,LDD,98,0.37271683673469386,1.161926507949829
2,-2,0,0.8,500,FishHeadLoader,kdqTree,98,0.39182397959183674,1.3465032577514648
3,-2,0,0.8,500,FishHeadLoader,MB-DL kNN,98,0.14894132653061223,3.574190855026245
4,-2,0,0.8,500,FishHeadLoader,MB-DL RT,98,0.7571683673469388,2.1546454429626465
5,-2,0,0.8,500,FishHeadLoader,MB-DL DT,98,0.7805484693877551,21.830552101135254
6,-2,0,0.8,500,FishHeadLoader,CP DT,98,0.7147066326530613,22.424577236175537
7,-2,0,0.8,500,FishHeadLoader,CP MLP,98,0.5926275510204082,132.98390007019043
8,-2,1,0.9,120,NoImageNetLoader,MB-DL RF,10,0.7063636363636364,6.686240196228027
9,-2,1,0.9,120,NoImageNetLoader,LDD,10,0.5081818181818183,0.2468404769897461
10,-2,1,0.9,120,NoImageNetLoader,kdqTree,10,0.7736363636363637,0.35934877395629883
11,-2,1,0.9,120,NoImageNetLoader,MB-DL kNN,10,0.6404545454545454,0.21627497673034668
12,-2,1,0.9,120,NoImageNetLoader,MB-DL RT,10,0.7636363636363637,1.7391347885131836
13,-2,1,0.9,120,NoImageNetLoader,MB-DL DT,10,0.6572727272727272,3.131260633468628
14,-2,1,0.9,120,NoImageNetLoader,CP DT,10,0.8072727272727273,1.503371238708496
15,-2,1,0.9,120,NoImageNetLoader,CP MLP,10,0.88,67.92455554008484
16,-2,2,0.9,120,FashionMNISTLoader,MB-DL RF,10,0.5,5.368970632553101
17,-2,2,0.9,120,FashionMNISTLoader,LDD,10,0.614090909090909,0.2245781421661377
18,-2,2,0.9,120,FashionMNISTLoader,kdqTree,10,0.6436363636363637,0.5234897136688232
19,-2,2,0.9,120,FashionMNISTLoader,MB-DL kNN,10,0.3740909090909091,0.24761700630187988
20,-2,2,0.9,120,FashionMNISTLoader,MB-DL RT,10,0.6054545454545455,1.88051176071167
21,-2,2,0.9,120,FashionMNISTLoader,MB-DL DT,10,0.7290909090909091,11.480186939239502
22,-2,2,0.9,120,FashionMNISTLoader,CP DT,10,0.54,5.656501054763794
23,-2,2,0.9,120,FashionMNISTLoader,CP MLP,10,0.8300000000000001,56.66570687294006
24,-2,3,0.8,500,FishHeadLoader,MB-DL RF,98,0.45205357142857144,5.712421178817749
25,-2,3,0.8,500,FishHeadLoader,LDD,98,0.3151530612244898,0.6546540260314941
26,-2,3,0.8,500,FishHeadLoader,kdqTree,98,0.4197321428571429,1.1968011856079102
27,-2,3,0.8,500,FishHeadLoader,MB-DL kNN,98,0.16411989795918366,0.45960259437561035
28,-2,3,0.8,500,FishHeadLoader,MB-DL RT,98,0.5406632653061225,2.5044474601745605
29,-2,3,0.8,500,FishHeadLoader,MB-DL DT,98,0.6722193877551021,8.941528558731079
30,-2,3,0.8,500,FishHeadLoader,CP DT,98,0.7941836734693877,8.487266778945923
31,-2,3,0.8,500,FishHeadLoader,CP MLP,98,0.5056632653061224,104.41658473014832
32,-2,4,0.9,120,NoImageNetLoader,MB-DL RF,10,0.4872727272727273,6.908325672149658
33,-2,4,0.9,120,NoImageNetLoader,LDD,10,0.4618181818181819,1.0999376773834229
34,-2,4,0.9,120,NoImageNetLoader,kdqTree,10,0.27454545454545454,0.23304176330566406
35,-2,4,0.9,120,NoImageNetLoader,MB-DL kNN,10,0.7940909090909092,0.41172242164611816
36,-2,4,0.9,120,NoImageNetLoader,MB-DL RT,10,0.6290909090909091,1.7616753578186035
37,-2,4,0.9,120,NoImageNetLoader,MB-DL DT,10,0.6586363636363637,5.282901048660278
38,-2,4,0.9,120,NoImageNetLoader,CP DT,10,0.47318181818181815,3.333003282546997
39,-2,4,0.9,120,NoImageNetLoader,CP MLP,10,0.8268181818181819,93.72033882141113
40,-2,5,0.9,120,FashionMNISTLoader,MB-DL RF,10,0.5,4.0357983112335205
41,-2,5,0.9,120,FashionMNISTLoader,LDD,10,0.41409090909090907,0.21062302589416504
42,-2,5,0.9,120,FashionMNISTLoader,kdqTree,10,0.73,0.3412346839904785
43,-2,5,0.9,120,FashionMNISTLoader,MB-DL kNN,10,0.3872727272727273,0.19935107231140137
44,-2,5,0.9,120,FashionMNISTLoader,MB-DL RT,10,0.19090909090909094,0.8869831562042236
45,-2,5,0.9,120,FashionMNISTLoader,MB-DL DT,10,0.40545454545454546,3.127347946166992
46,-2,5,0.9,120,FashionMNISTLoader,CP DT,10,0.39136363636363636,1.9084622859954834
47,-2,5,0.9,120,FashionMNISTLoader,CP MLP,10,0.9790909090909091,73.11658835411072
